reference_enquete;nom_region_men;nom_departement_men;nom_cav_men;nom_commune_men;nom_quatier_men;milieu_de_residence;m1;m1_autre;m2;m2_autre;m3;m4;m4_autre;m5;m5_autre;m6;m6_autre;m7;m7_autre;m8;m8_autre;m9;m9_autre;m10;m10_autre;m11a;m11b;m11c;m11d;m11e;m11f;m11g;m11h;m11i;m11j;m11k;m11l;m11m;m11n;m11o;m12a;m12b;m12c;m12d;m12e;m12f;m12g;m12h;m12i;m12j;m12k;m12l;m12m;m12n;m12o;m12p;m12q;m12r;m12s;m13;m13_autre;m14;m14_1;m14_2;m14_3;m14_4;m14_5;m14_6;m14_7;m14_8;m14a;m14b;m14c;m14d;m14e;m14f;m14g;m14h;m15;m15a;m15b;m15c;m15d;m15e;m15f;m15g;m16a;m16b;m16c;m16d;m16e;m16f;m16g;m17;m18;m19a1;m19a2;m19a3;m19a4;m19a5;m19a6;m19a7;m19a8;m19a9;m19a10;m19a11;m19a12;m19a13;m19a14;m19a15;m19a16;m19a17;m19a18;m19b1;m19b2;m19b3;m19b4;m19b5;m19b6;m19b7;m19b8;m19b9;m19b10;m19b11;m19b12;m19b13;m19b14;m19b15;m19b16;m19b17;m19b18;m20z;m20a;m20b;m20c;m20d;m20e;m21a1;deces_soutien_famille_s1;deces_soutien_famille_s2;deces_soutien_famille_s3;mois_du_deces;m21a2;m21a__incendie_s1;m21a__incendie_s2;m21a__incendie_s3;m21c_mois_de_l_incendie;m21a3;m21a__inondation_s1;m21a__inondation_s2;m21a__inondation_s3;m21c_mois_de_l_inondation;m21a4;m21a__s_cheresse_s1;m21a__s_cheresse_s2;m21a__s_cheresse_s3;m21c_mois_de_la_secheresse;m21a5;m21_a_un_accident_grave_s1;m21_a_un_accident_grave_sa;m21_a_un_accident_grave_s3;m21c_mois_de_l_accident_grave;m21a6;m21a__la_perte_d_emploi_s1;m21a__la_perte_d_emploi_s2;m21a__la_perte_d_emploi_s3;m21c_mois_de_la_perte_d_emploi;m21a7;m21a__la_perte_de_r_colte_s1;m21a__la_perte_de_r_colte_s2;m21a__la_perte_de_r_colte_s3;m21c_mois_de_la_perte_de_recolt;m21a8;m21a__une_longue_maladie_d_un_sc;m21a__une_longue_maladie_d_un_s2;m21a__une_longue_maladie_d_un_s3;m21c_mois_d_une_longue_maladie;m21a9;m21_a_maladie_d_un_enfant_s1;m21_a_maladie_d_un_enfant_s2;m21_a_maladie_d_un_enfant_s3;m21c_mois_de_la_maladie_d_un_en;m21a10;m21_a_handicap_d_un_soutien_s1;m21_a_handicap_d_un_soutien_s2;m21_a_handicap_d_un_soutien_s3;m21c_mois_de_l_handicap_d_un_so;m21a11;m21_a_perte_principal_moyen_p_s1;m21_a_perte_principal_moyen_p_s2;m21_a_perte_principal_moyen_p_s3;m21c_mois_de_perte_principal_mo;m21a12;m21_a_perte_de_b_tail_s1;m21_a_perte_de_b_tail_s2;m21_a_perte_de_b_tail_s3;m21c_mois_de_la_perte_de_betail;m21a13;m21_a_hausse_des_prix_s1;m21_a_hausse_des_prix_s2;m21_a_hausse_des_prix_s3;m21c_mois_de_l_hausse_des_prix;m21a14;m21_a_autres_probl_mes_s1;m21_a_autres_probl_mes_s2;m21_a_autres_probl_mes_s3;m21c_mois_de_autres_problemes;m21bis_a;m21bis_b;m21bis_c;m21bis_d;m21bis_e;m21bis_f;m21bis_g;m21bis_h;m21bis_i;m21bis_j;m21bis_k;m21bis_l;m22a;m22b;m22c;m22d;m22e;m22f;m22g;m22h;m22i;m22j;m22k;m22l;m22m;m22n;m22q;m22p;m22o;m22r;m22s;m22t;m23a1;m23a2;m23a3;m23a4;m23a5;m23a6;m23a7;m23a8;m23b1;m23b2;m23b3;m23b4;m23b5;m23b6;m23b7;m23b8;m24;m25;i9;i10
SN4-04120101-28;SAINT-LOUIS;DAGANA;MBANE;MBANE;PAMPINABE 3;Rural;1;NA;1;NA;2;3;NA;1;NA;1;NA;9;NA;2;NA;9;NA;4;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;2;2;0;0;0;0;0;0;0;0;3;4;3;5;4;2;5;NA;5;5;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;1;5;4;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;4;4;4;4;4;7;4;10;38;30;30;30;30;40;30;2;50;1;1
SN4-04120101-284;SAINT-LOUIS;DAGANA;MBANE;MBANE;POMO;Rural;1;NA;1;NA;4;4;NA;4;NA;7;NA;1;NA;2;NA;1;NA;10;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;1;1,5;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;1,5;0;7;0;0;2;6;1;0;0;0;0;0;0;6;0;4;6;6;6;5;NA;NA;5;5;5;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;4;2;2;0;4;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;NA;NA;8;1;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;NA;2;0;9;9;9;9;2;0;2;10;60;60;60;60;25;9;25;2;98;1;1
SN4-04120101-286;SAINT-LOUIS;DAGANA;MBANE;MBANE;KAOUNDIRAL;Rural;1;NA;1;NA;3;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenu de l'élevage;NA;2;0;1;0;0;0;0;1;0;NA;18;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;2;2;0;0;0;0;0;0;1;0;5;0;3;5;5;2;5;NA;5;5;NA;NA;NA;NA;NA;NA;5;NA;5;NA;5;5;5;5;1;6;5;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;NA;2;0;19;10;10;10;10;10;10;10;60;60;60;60;60;60;60;2;50;1;1
SN4-04120101-293;SAINT-LOUIS;DAGANA;MBANE;MBANE;PATHE BADIO DEMBA THIADJI;Rural;1;NA;1;NA;3;4;NA;4;NA;7;NA;1;NA;2;NA;7;NA;2;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;137;1;0;1;0;0;0;0;0;1;NA;10;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;0;0;2;0;0;0;0;0;0;0;0;5;0;3;4;5;2;5;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;6;6;1;3;2;2;2;3;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;6;1;NA;NA;NA;NA;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;1;7;7;6;1;7;1;7;10;30;30;30;10;30;10;30;1;98;1;1
SN4-04120101-303;SAINT-LOUIS;DAGANA;MBANE;MBANE;SYERE;Rural;1;NA;1;NA;3;4;NA;4;NA;7;NA;7;NA;2;NA;5;NA;2;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;0;3;0;2;2;2;0;0;0;0;7;0;1;5;4;0;5;5;NA;5;NA;5;5;5;NA;NA;NA;NA;5;NA;8;5;5;NA;1;3;1;2;2;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;6;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;6;1;98;NA;NA;7;1;NA;NA;NA;NA;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;2;2;2;2;2;2;2;2;15;15;15;15;15;15;15;15;2;95;1;1
SN4-04120101-113;SAINT-LOUIS;DAGANA;MBANE;MBANE;DIASSARNABE NDIACK FALL 2;Rural;1;NA;1;NA;4;4;NA;4;NA;7;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;237;0;1;1;0;0;0;1;0;NA;6;5;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0;2;0;2;2;2;0;0;0;0;5;0;3;0;5;0;3;NA;NA;5;NA;5;5;5;NA;NA;NA;NA;5;NA;5;NA;5;NA;1;3;2;2;3;1;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;6;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;7;1;NA;NA;NA;NA;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;12;7;7;7;7;2;7;10;45;30;30;30;30;20;35;1;95;1;1
SN4-04120101-126;SAINT-LOUIS;DAGANA;MBANE;MBANE;TETHIAME MALAL;Rural;1;NA;1;NA;3;4;NA;4;NA;7;NA;7;NA;2;NA;9;NA;5;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenu de l'élevage;NA;23;0;1;1;0;0;0;1;0;NA;2;1;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;2;0;3;5;0;0;0;0;0;0;0;4;0;2;6;7;3;9;5;NA;5;5;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;2;1;2;0;4;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;11;NA;NA;8;1;NA;NA;NA;NA;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;NA;2;10;0;16;16;16;16;3;16;100;999;999;999;999;999;35;999;2;98;1;1
SN4-04120101-304;SAINT-LOUIS;DAGANA;MBANE;MBANE;H6 DIAMWELY;Rural;1;NA;1;NA;4;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;4;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;123;1;1;1;0;0;0;1;0;5;5;8;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;0;0;0;0;0;0;0;0;0;0;5;0;3;5;4;2;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;5;0;5;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;NA;2;4;4;4;4;4;4;4;4;30;30;30;30;30;30;30;30;2;50;1;1
SN4-04120101-324;SAINT-LOUIS;DAGANA;MBANE;MBANE;H1 KALOME;Rural;1;NA;1;NA;2;4;NA;4;NA;7;NA;7;NA;2;NA;5;NA;2;NA;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;1237;1;1;1;0;0;0;1;0;2;5;5;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0;3;0;0;0;0;0;0;0;0;5;0;3;4;5;4;5;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;1;5;5;5;1;5;1;4;3;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;5;1;98;NA;NA;6;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;5;1;NA;NA;NA;NA;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;8;0;8;8;8;8;8;0;38;60;30;30;30;30;30;65;2;95;1;1
SN4-04120101-155;SAINT-LOUIS;DAGANA;MBANE;MBANE;TETHIANE DJIAMALA;Rural;1;NA;1;NA;3;4;NA;4;NA;7;NA;7;NA;2;NA;9;NA;3;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;1237;1;1;1;0;0;0;1;0;4;6;4;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;0;0;2;1;0;1;2;0;0;0;0;1;0;7;7;7;0;5;NA;NA;5;5;NA;5;5;NA;NA;NA;NA;5;NA;1;5;5;NA;2;0;0;0;0;0;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;5;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;1;12;0;15;15;0;15;15;0;35;45;30;30;0;30;30;90;3;10;1;1
SN4-04120101-161;SAINT-LOUIS;DAGANA;MBANE;MBANE;H1 DIAM DIAYRE;Rural;1;NA;1;NA;2;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;2;0;1;0;0;0;0;1;0;NA;2;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;1;2;2;0;0;0;0;0;0;1;0;5;0;3;5;4;2;9;5;5;5;NA;NA;NA;NA;NA;NA;9;NA;5;NA;5;5;5;5;1;5;4;4;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;0;15;15;15;15;0;15;10;999;40;40;40;40;5;40;2;50;1;1
SN4-04120101-336;SAINT-LOUIS;DAGANA;MBANE;MBANE;BISNABE PENDA YAYAKE;Rural;1;NA;1;NA;3;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;2;0;1;0;0;0;0;1;0;NA;4;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;1;4;0;0;0;0;0;0;0;0;0;6;0;3;5;5;2;9;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;6;4;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;9;9;9;9;9;0;9;10;40;40;40;40;40;10;40;2;50;1;1
SN4-04120101-350;SAINT-LOUIS;DAGANA;MBANE;MBANE;GANKETTE PEULH YAYAKE;Rural;3;NA;1;NA;5;3;NA;1;NA;1;NA;7;NA;2;NA;3;NA;2;NA;2;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus de l'agriculture;NA;136;1;0;1;0;0;1;0;0;2;NA;5;NA;NA;2;NA;NA;1;1;1;NA;NA;1;NA;NA;0;0;NA;NA;0;NA;0;0;0;7;4;0;3;4;2;3;3;0;0;0;0;5;0;4;5;7;0;5;5;NA;1;5;5;5;5;NA;NA;NA;NA;5;NA;8;5;5;NA;1;2;5;4;2;3;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;4;6;6;1;NA;NA;NA;NA;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;NA;1;0;3;0;3;3;17;0;20;4;15;60;25;25;45;2;45;3;95;1;1
SN4-04120101-176;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBELOGNE BOULDE;Rural;1;NA;1;NA;2;4;NA;4;NA;6;NA;7;NA;2;NA;9;NA;2;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenu de l'élevage;NA;23;0;1;1;0;0;0;1;0;NA;5;7;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;2;2;0;0;0;0;0;0;1;0;4;0;3;5;4;2;5;5;5;5;NA;NA;NA;NA;NA;NA;5;NA;5;NA;5;5;5;5;1;5;4;0;0;2;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;NA;2;3;9;9;9;8;8;1;8;30;40;40;40;40;40;30;40;2;50;1;1
SN4-04120101-194;SAINT-LOUIS;DAGANA;MBANE;MBANE;SOWONABE NIAPY;Rural;1;NA;1;NA;2;4;NA;4;NA;7;NA;7;NA;2;NA;9;NA;3;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;1;1;0;0;0;0;0;0;0;2;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;4;0;2;4;0;0;0;0;0;0;0;4;0;2;5;5;5;5;5;NA;5;5;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;3;2;2;1;6;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;8;1;NA;NA;NA;NA;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;7;2;2;2;0;0;2;15;40;20;20;20;7;13;20;2;98;1;1
SN4-04120101-2;SAINT-LOUIS;DAGANA;MBANE;MBANE;MBELOGNE WIDIDJI;Rural;1;NA;1;NA;4;4;NA;4;NA;7;NA;7;NA;2;NA;9;NA;6;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;12367;1;1;1;0;0;1;1;0;6;10;10;NA;NA;1;4;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;4;3;4;1;0;3;4;0;0;0;0;4;0;7;7;7;0;5;5;5;5;5;NA;5;9;NA;NA;NA;NA;5;NA;1;5;5;NA;2;0;0;0;0;0;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;1;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;NA;2;3;7;4;4;0;4;4;7;45;65;35;45;0;35;60;90;3;10;1;1
SN4-04120101-202;SAINT-LOUIS;DAGANA;MBANE;MBANE;SOWONABE NIAPY;Rural;3;NA;3;NA;1;2;NA;4;NA;1;NA;7;NA;2;NA;9;NA;11;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Autre;NA;2;0;1;0;0;0;0;1;0;NA;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;9;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;9;9;NA;1;7;4;7;7;4;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;9;1;6;1;1;11;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;6;5;97;4;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;98;NA;NA;1;1;98;NA;NA;11;1;TRUE;NA;NA;TRUE;2;2;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;0;8;2;2;2;2;3;11;5;20;15;15;15;15;20;25;1;99;1;1
SN4-04120101-362;SAINT-LOUIS;DAGANA;MBANE;MBANE;EL MARADINE;Rural;1;NA;1;NA;2;4;NA;4;NA;7;NA;7;NA;2;NA;5;NA;6;NA;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;Revenus des activités non agricoles;NA;2;0;1;0;0;0;0;1;0;NA;3;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;2;0;2;4;0;0;0;0;0;0;0;1;0;2;6;7;4;5;5;NA;5;5;NA;NA;NA;NA;NA;NA;NA;5;NA;5;5;5;5;1;3;2;2;0;3;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;2;NA;NA;NA;NA;1;1;NA;NA;1;1;NA;NA;NA;NA;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;NA;2;0;0;18;18;18;18;0;18;15;999;999;999;999;999;14;999;2;98;1;1
